Youngest,TALC
62,21
63,20
64,19
65,18
66,18
67,17
68,16
69,16
70,15
71,14
72,13
73,13
74,12
75,12
76,11
77,10
78,10
79,9
80,9
81,8
82,8
83,8
84,7
85,6
86,6
87,6
88,5
89,5
90,5
91,4
92,4
93,4
94,4
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
